chosen founder,company,yr founded,location,industry,size,valuation (est.),business model,executive summary,management team,founding story,problem,products/services,market,traction,noteworthy details
Meranee Naaman,The Riverside Company,,,,,,,,,,,,,,
Emmet Nicholas,Airtable,,,,,,,,,,,,,,
Andrew Ofstad,Airtable,,,,,,,,,,,,,,
Vamsee  Pamula,Baebies,,,,,,,,,,,,,,
Odysseas Papadimitriou,WalletHub,,,,,,,,,,,,,,
Aaron Patzer,Mint.com,,,,,,,,,,,,,,
Josh Payne,Onward and Open Sky Ventures,,,,,,,,,,,,,,
Will Pearson,iHeart Media,,,,,,,,,,,,,,
Noah Perin,VIA Global Health,,,,,,,,,,,,,,
Zachary Perret,Plaid,,,,,,,,,,,,,,
Vadim Polikov,Legends of Learning,,,,,,,,,,,,,,
Michael Pollack,Advanced Liquid Logic (ALL),,,,,,,,,,,,,,
Dan Pollard,myDrugCosts,,,,,,,,,,,,,,
JB Pritzker,"1,871",,,,,,,,,,,,,,
Erik Rannala,MuckerLab,,,,,,,,,,,,,,
Joanna Rees,West Ventures,,,,,,,,,,,,,,
Matt Rising,Swell Energy,,,,,,,,,,,,,,
Carmichael Roberts,Arsenal Medical,,,,,,,,,,,,,,
Jason Robins,DraftKings,,,,,,,,,,,,,,
Tom Rose,Testive,,,,,,,,,,,,,,
Kerry Rupp,True Wealth Ventures,,,,,,,,,,,,,,
Eric Savage,Unitus Capital,,,,,,,,,,,,,,
Jim Scheinman,Maven Ventures,,,,,,,,,,,,,,
Aaron Schumm,Vestwell,,,,,,,,,,,,,,
Jonathan Seeber,Updata Partners,,,,,,,,,,,,,,
Justin Segall,SimpleEnergy,,,,,,,,,,,,,,
Reed Shaffner,Workpop,,,,,,,,,,,,,,
Ian Shakil,Augmedix,,,,,,,,,,,,,,
Amit Sharma,Narvar,,,,,,,,,,,,,,
Neil Sharma,SolarKal,,,,,,,,,,,,,,
Chimay Singh,SimplifiMed,,,,,,,,,,,,,,
Dylan Smith,Box,,,,,,,,,,,,,,
David Spratte,Carpe Lotion,,,,,,,,,,,,,,
Jake Stauch,Neuroplus,,,,,,,,,,,,,,
Jeff Sun,KelaHealth,,,,,,,,,,,,,,
Khaled Talhouni,Wamda Capital,,,,,,,,,,,,,,
Hersh Tapadia,Allstacks,,,,,,,,,,,,,,
Michael Tauiliili-Brown,Win-Win,,,,,,,,,,,,,,
Tarun Thakur,Datos.io,,,,,,,,,,,,,,
Christopher Thompson,TruBrain,,,,,,,,,,,,,,
Parker Treacy,Cobli,,,,,,,,,,,,,,
Terry Tucker,NexGen Entertainment,,,,,,,,,,,,,,
Poornima Vijayashanker,Femgineer,,,,,,,,,,,,,,
Luis von Ahn,Duolingo,,,,,,,,,,,,,,
Chris Wade,Traena,,,,,,,,,,,,,,
Ge Wang,Smule,,,,,,,,,,,,,,
Hua Wang,Smartbridge Health,,,,,,,,,,,,,,
Ivan Wang,Dynamo Micropower,,,,,,,,,,,,,,
Andrea Weinbreg,ANDI Bags,,,,,,,,,,,,,,
Daniel Weinstein,Oshi Health,,,,,,,,,,,,,,
Jeremy Welch,Casa,,,,,,,,,,,,,,
Richard West,Baebies,,,,,,,,,,,,,,
Justin Wickett,Informed.IQ,,,,,,,,,,,,,,
Sean Wilson,Fullsteam Brewery,,,,,,,,,,,,,,
Derrick Xiong,Ehang,,,,,,,,,,,,,,
